type,k,id,label,members,strategy,n_seeds,val_auc_m,val_auc_s,val_acc_m,val_acc_s,test_auc_m,test_auc_s,test_acc_m,test_acc_s,test_f1_m,test_f1_s,test_d_auc_m,test_d_auc_s,test_d_acc_m,test_d_acc_s,test_d_f1_m,test_d_f1_s,delta_auc_m,delta_auc_s,df40_auc_m,df40_auc_s
multi_model,4,clip_dino_vit_xception,CLIP + DINO + ViT + Xception,clip + dino + vit + xception,max,5,0.9917392616140728,0.0014186800315248206,0.9650780725148105,0.006067990185800706,0.9037016771901335,0.006124513167215377,0.82102590314762,0.0071990339172103525,0.8275968681641406,0.007862379361049998,0.8219370599951377,0.009479340297895066,0.7346567956602748,0.007019102568711897,0.7372787235528786,0.008337314337152261,-0.08176461719499573,0.005816986577556755,0.7894676283556694,0.008352432614608309
multi_model,5,top5_resnet_vit_mobilenet,Top 5 (CLIP+DINO+ResNet+ViT+MobileNet),clip + dino + resnet + vit + mobilenet,stacking,5,0.996322516616174,0.0004377734220703284,0.9766630701057931,0.0016876188820311147,0.9317689648601665,0.002637783142450271,0.8408756396093369,0.003963213422914651,0.8462170404220162,0.0033183270006714068,0.8596905011514286,0.007283982897960821,0.7584560338999817,0.005741621775879849,0.7594585390271666,0.004730432625004696,-0.0720784637087379,0.006320040710121448,0.8063757342325794,0.014578181301498011
multi_model,5,top5_resnet_vit_mobilenet,Top 5 (CLIP+DINO+ResNet+ViT+MobileNet),clip + dino + resnet + vit + mobilenet,geometric,5,0.994373127078368,0.0007050030751370967,0.9659412471244477,0.0028320486864900005,0.9253623870313549,0.004446829466343386,0.8315905181179135,0.0047700320607745594,0.8384220144870926,0.004710219886967305,0.8603234642287765,0.008147121456968276,0.7623769559267259,0.007113846124054565,0.7707168228935516,0.007084016075251005,-0.06503892280257854,0.0049363446246206664,0.7947517403269169,0.011213198953208053
multi_model,5,top5_resnet_vit_mobilenet,Top 5 (CLIP+DINO+ResNet+ViT+MobileNet),clip + dino + resnet + vit + mobilenet,mean,5,0.9942707517107726,0.0006043849324694576,0.967203436412125,0.0022804120411168255,0.9173381405635753,0.001913444613400994,0.824976504146812,0.0023571407625484564,0.8321388464348445,0.0031244131291603165,0.8423859137219347,0.005281160805353124,0.7447465470713999,0.0036366649921913486,0.7519859993321902,0.003849876647020311,-0.07495222684164056,0.004518291485327649,0.7837179474287568,0.010146754442973787
multi_model,5,top5_resnet_vit_mobilenet,Top 5 (CLIP+DINO+ResNet+ViT+MobileNet),clip + dino + resnet + vit + mobilenet,max,5,0.9922755181008152,0.0012686209724491963,0.9630599268473091,0.005288337857465591,0.9096820805272031,0.00399408939123719,0.8240641505493358,0.006762315786628501,0.8328119798074148,0.008823368246924555,0.8288411353918942,0.008852548815114058,0.7383589726678649,0.007335989543766018,0.7438061389769295,0.010946577948865674,-0.08084094513530889,0.007010916054286246,0.7427371565089006,0.008081442192733414
multi_model,5,top5_resnet_vit_xception,Top 5 (CLIP+DINO+ResNet+ViT+Xception),clip + dino + resnet + vit + xception,stacking,5,0.996241946751724,0.00040041933048087173,0.9764784918873802,0.0016118442830301814,0.9308818680229297,0.0031528017869381507,0.8432389651931608,0.0032294648424683187,0.8492027540242331,0.002940684853214604,0.8594595300174778,0.008659028194694598,0.7604247390723672,0.0059529957869925865,0.7623437133180518,0.004991203572038172,-0.07142233800545195,0.006609543870943628,0.8068026749973388,0.01482492676911542
multi_model,5,top5_resnet_vit_xception,Top 5 (CLIP+DINO+ResNet+ViT+Xception),clip + dino + resnet + vit + xception,geometric,5,0.9942764735106582,0.0007388844665041773,0.966534340370378,0.0026803767177561457,0.9259256072101509,0.005024744796168187,0.832644671250419,0.005401509680406869,0.8397806262017216,0.005439168855122069,0.8609993665741804,0.0087618046688815,0.7633970332019764,0.0069338963586789105,0.7717478202051768,0.006584692671134008,-0.06492624063597048,0.005278238672563267,0.794362835475831,0.010916967670430806
multi_model,5,top5_resnet_vit_xception,Top 5 (CLIP+DINO+ResNet+ViT+Xception),clip + dino + resnet + vit + xception,mean,5,0.9936884160196605,0.0006422107135073427,0.966694489118707,0.0022038038145176147,0.9124729279586334,0.0023379217150559743,0.8232606198508357,0.0036727220016241147,0.8307301726162514,0.00439573500663993,0.8374768955935059,0.006059203630737913,0.7420699434450692,0.006257057328440959,0.7496850145120193,0.00579133921562952,-0.07499603236512772,0.004318376045039269,0.7842330105845473,0.009512977858788659
multi_model,5,top5_resnet_vit_xception,Top 5 (CLIP+DINO+ResNet+ViT+Xception),clip + dino + resnet + vit + xception,max,5,0.9923203626309686,0.0011491568846166641,0.9649301385015235,0.004491116307848923,0.9037596890112376,0.0038204533957408556,0.8219151730998588,0.004814496320019755,0.8298036806455821,0.005310575860636558,0.8210601983812621,0.007996813023498955,0.7339346073307061,0.005445372809641256,0.7383652634696427,0.005584607088255214,-0.08269949062997554,0.004600200182640843,0.7518541385192608,0.012278773821191757
multi_model,6,all_6_models,Todos os 6 Modelos Robustos,clip + dino + vit + resnet + mobilenet + xception,stacking,5,0.9962911914600088,0.00042823682880413776,0.976668498876923,0.0017410950616084083,0.9308550416443369,0.0028418009393978727,0.8421595299730141,0.00465365003273603,0.8478241888773248,0.004240513445725205,0.8585915676887856,0.007852240854693701,0.759413455566731,0.0072278527200396485,0.7610024922837544,0.005955775338253192,-0.0722634739555514,0.00640240029318253,0.8064154688754573,0.014421108467534662
multi_model,6,all_6_models,Todos os 6 Modelos Robustos,clip + dino + vit + resnet + mobilenet + xception,geometric,5,0.9937924069818008,0.0007389124626941573,0.9642433989536044,0.002777198324393392,0.9226998127217853,0.004339647144758211,0.8296119199547121,0.0039472021667583375,0.8369766269116721,0.004082830295556318,0.8561660500366075,0.008066719534162409,0.7599762568220416,0.00698832159165342,0.7703360515194465,0.005934087988479214,-0.0665337626851776,0.004995634560999172,0.7931171658115582,0.010120611990955144
multi_model,6,all_6_models,Todos os 6 Modelos Robustos,clip + dino + vit + resnet + mobilenet + xception,mean,5,0.9931941299819975,0.0006774540353226625,0.9636123043097656,0.0016461900883092103,0.9103395965689739,0.001856284651993706,0.8215985973937465,0.004097682643283583,0.8305198961023462,0.004702719268081968,0.8326070470943858,0.005330778228079297,0.7400473764337966,0.005047429978810247,0.7520331398917454,0.005768706164317758,-0.07773254947458814,0.004027721568946029,0.7817210424352645,0.009118306211814434
multi_model,6,all_6_models,Todos os 6 Modelos Robustos,clip + dino + vit + resnet + mobilenet + xception,max,5,0.9916493113852173,0.0014137429288864248,0.9621017487429,0.00530650966635057,0.9029659239597887,0.003686894300141335,0.8221097352525735,0.005314664316847999,0.8316994214978346,0.006858769579612334,0.8195994131652962,0.008577894484589448,0.7350459199657042,0.006460032148598025,0.742658819627853,0.009994057243224694,-0.08336651079449246,0.005623740775717849,0.7420987337210406,0.007834957299674832
self_ensemble_5seeds,5,clip_5seeds,CLIP (ViT-B/16) (5 Seeds Canônicas),"clip [seeds: 987, 42, 123, 2024, 7]",mean,5,0.9887191737851415,0.0,0.9491731302972931,0.0,0.9213605548042969,0.0,0.8285159964165388,0.0,0.834548549429688,0.0,0.8617255218242679,0.0,0.7577371432340188,0.0,0.7542634146341464,0.0,-0.059635032980029035,0.0,0.8375605819065229,0.0
self_ensemble_5seeds,5,clip_5seeds,CLIP (ViT-B/16) (5 Seeds Canônicas),"clip [seeds: 987, 42, 123, 2024, 7]",geometric,5,0.9890168910714503,0.0,0.9494852846372563,0.0,0.9211124073999786,0.0,0.826103205878635,0.0,0.831571326668583,0.0,0.8622400428353826,0.0,0.7584241564851303,0.0,0.7557025344597599,0.0,-0.05887236456459599,0.0,0.8431991913267963,0.0
self_ensemble_5seeds,5,clip_5seeds,CLIP (ViT-B/16) (5 Seeds Canônicas),"clip [seeds: 987, 42, 123, 2024, 7]",stacking,5,0.9886950216379177,0.0,0.9494852846372563,0.0,0.9212085918366276,0.0,0.8243499480617982,0.0,0.8286114194700517,0.0,0.8612985980284941,0.0,0.7519937124547258,0.0,0.7446437666232811,0.0,-0.059909993808133555,0.0,0.8403091062331549,0.0
self_ensemble_5seeds,5,dino_5seeds,DINO (ConvNeXt-B) (5 Seeds Canônicas),"dino [seeds: 987, 42, 123, 2024, 7]",mean,5,0.9964113375623497,0.0,0.9764459192606014,0.0,0.937380688223515,0.0,0.844234859601972,0.0,0.8496761840102264,0.0,0.858419802972114,0.0,0.7577426393400276,0.0,0.7619721352197861,0.0,-0.07896088525140099,0.0,0.7967834009294132,0.0
self_ensemble_5seeds,5,dino_5seeds,DINO (ConvNeXt-B) (5 Seeds Canônicas),"dino [seeds: 987, 42, 123, 2024, 7]",geometric,5,0.9964833114308044,0.0,0.9759234000393586,0.0,0.9411294094658651,0.0,0.8581784805465328,0.0,0.8650912322894337,0.0,0.8652996966850028,0.0,0.7686414175556618,0.0,0.7757146282334763,0.0,-0.07582971278086226,0.0,0.8010855139955924,0.0
